Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Affects_Academic_Performance_Numeric,Addiction_Level,Cluster,Region,Platform_Type
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,1,High,2,Asia,Entertain-Scroll
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,0,Low,0,Asia,Social-Network
3,20,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9,1,High,1,North America,Entertain-Scroll
4,18,Male,High School,UK,3.0,YouTube,No,7.0,7,Single,1,4,0,Medium,0,Europe,Entertain-Scroll
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,1,Medium,2,North America,Social-Network
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,1,High,1,Oceania,Entertain-Scroll
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,9,Single,0,2,0,Low,0,Europe,Professional
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,1,High,2,South America,Entertain-Scroll
9,18,Male,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5,0,Medium,0,Asia,Entertain-Scroll
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,0,Medium,0,Asia,Entertain-Scroll
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,1,Medium,2,Europe,Entertain-Scroll
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,1,High,2,Europe,Entertain-Scroll
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,0,Medium,0,Europe,Professional
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,1,High,1,North America,Entertain-Scroll
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,0,Medium,0,Europe,Entertain-Scroll
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7,1,Medium,2,Asia,Entertain-Scroll
17,24,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3,0,Low,0,Europe,Professional
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,1,High,1,Europe,Entertain-Scroll
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,0,Medium,0,Europe,Social-Network
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,1,Medium,2,Europe,Entertain-Scroll
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8,1,High,1,Europe,Entertain-Scroll
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,0,Medium,0,Europe,Professional
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,1,Medium,2,Europe,Entertain-Scroll
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8,1,High,1,Europe,Entertain-Scroll
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,0,Medium,0,Europe,Social-Network
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,1,High,1,Europe,Entertain-Scroll
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,0,Medium,0,Oceania,Entertain-Scroll
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,1,Medium,2,Asia,Entertain-Scroll
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,0,Low,0,Asia,Professional
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,1,High,1,Asia,Entertain-Scroll
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,0,Medium,0,Asia,Social-Network
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,1,Medium,2,Asia,Entertain-Scroll
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8,1,High,1,Asia,Entertain-Scroll
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,0,Medium,0,Asia,Professional
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,1,Medium,2,Asia,Entertain-Scroll
